REF_DATE,GEO,Violations,Statistics,VALUE
2008,Newfoundland and Labrador [10],Total drug violations [401],"Rate per 100,000 population",209.17
2009,Newfoundland and Labrador [10],Total drug violations [401],"Rate per 100,000 population",238.81
2010,Newfoundland and Labrador [10],Total drug violations [401],"Rate per 100,000 population",306.53
2011,Newfoundland and Labrador [10],Total drug violations [401],"Rate per 100,000 population",325.71
2012,Newfoundland and Labrador [10],Total drug violations [401],"Rate per 100,000 population",271.68
2013,Newfoundland and Labrador [10],Total drug violations [401],"Rate per 100,000 population",274.13
2014,Newfoundland and Labrador [10],Total drug violations [401],"Rate per 100,000 population",228.72
2015,Newfoundland and Labrador [10],Total drug violations [401],"Rate per 100,000 population",207.91
2016,Newfoundland and Labrador [10],Total drug violations [401],"Rate per 100,000 population",188.13
2017,Newfoundland and Labrador [10],Total drug violations [401],"Rate per 100,000 population",191.58
2018,Newfoundland and Labrador [10],Total drug violations [401],"Rate per 100,000 population",169.53
2019,Newfoundland and Labrador [10],Total drug violations [401],"Rate per 100,000 population",164.1
2020,Newfoundland and Labrador [10],Total drug violations [401],"Rate per 100,000 population",174.3
2000,Prince Edward Island [11],Homicide [110],Actual incidents,3
2001,Prince Edward Island [11],Homicide [110],Actual incidents,2
2002,Prince Edward Island [11],Homicide [110],Actual incidents,1
2003,Prince Edward Island [11],Homicide [110],Actual incidents,1
2004,Prince Edward Island [11],Homicide [110],Actual incidents,
2005,Prince Edward Island [11],Homicide [110],Actual incidents,
2006,Prince Edward Island [11],Homicide [110],Actual incidents,1
2007,Prince Edward Island [11],Homicide [110],Actual incidents,0
2008,Prince Edward Island [11],Homicide [110],Actual incidents,2
2009,Prince Edward Island [11],Homicide [110],Actual incidents,0
2010,Prince Edward Island [11],Homicide [110],Actual incidents,0
2011,Prince Edward Island [11],Homicide [110],Actual incidents,1
2012,Prince Edward Island [11],Homicide [110],Actual incidents,0
2013,Prince Edward Island [11],Homicide [110],Actual incidents,1
2014,Prince Edward Island [11],Homicide [110],Actual incidents,3
2015,Prince Edward Island [11],Homicide [110],Actual incidents,1
2016,Prince Edward Island [11],Homicide [110],Actual incidents,0
2017,Prince Edward Island [11],Homicide [110],Actual incidents,2
2018,Prince Edward Island [11],Homicide [110],Actual incidents,0
2019,Prince Edward Island [11],Homicide [110],Actual incidents,2
2020,Prince Edward Island [11],Homicide [110],Actual incidents,1
2000,Prince Edward Island [11],Homicide [110],"Rate per 100,000 population",2.2
2001,Prince Edward Island [11],Homicide [110],"Rate per 100,000 population",1.46
2002,Prince Edward Island [11],Homicide [110],"Rate per 100,000 population",0.73
2003,Prince Edward Island [11],Homicide [110],"Rate per 100,000 population",0.73
2004,Prince Edward Island [11],Homicide [110],"Rate per 100,000 population",0
2005,Prince Edward Island [11],Homicide [110],"Rate per 100,000 population",0
2006,Prince Edward Island [11],Homicide [110],"Rate per 100,000 population",0.73
2007,Prince Edward Island [11],Homicide [110],"Rate per 100,000 population",0
2008,Prince Edward Island [11],Homicide [110],"Rate per 100,000 population",1.44
2009,Prince Edward Island [11],Homicide [110],"Rate per 100,000 population",0
2010,Prince Edward Island [11],Homicide [110],"Rate per 100,000 population",0
2011,Prince Edward Island [11],Homicide [110],"Rate per 100,000 population",0.69
2012,Prince Edward Island [11],Homicide [110],"Rate per 100,000 population",0
2013,Prince Edward Island [11],Homicide [110],"Rate per 100,000 population",0.69
2014,Prince Edward Island [11],Homicide [110],"Rate per 100,000 population",2.08
2015,Prince Edward Island [11],Homicide [110],"Rate per 100,000 population",0.69
2016,Prince Edward Island [11],Homicide [110],"Rate per 100,000 population",0
2017,Prince Edward Island [11],Homicide [110],"Rate per 100,000 population",1.33
2018,Prince Edward Island [11],Homicide [110],"Rate per 100,000 population",0
2019,Prince Edward Island [11],Homicide [110],"Rate per 100,000 population",1.27
2020,Prince Edward Island [11],Homicide [110],"Rate per 100,000 population",0.63
2000,Prince Edward Island [11],Attempted murder [1210],Actual incidents,1
2001,Prince Edward Island [11],Attempted murder [1210],Actual incidents,1
2002,Prince Edward Island [11],Attempted murder [1210],Actual incidents,2
2003,Prince Edward Island [11],Attempted murder [1210],Actual incidents,
2004,Prince Edward Island [11],Attempted murder [1210],Actual incidents,1
2005,Prince Edward Island [11],Attempted murder [1210],Actual incidents,
2006,Prince Edward Island [11],Attempted murder [1210],Actual incidents,2
2007,Prince Edward Island [11],Attempted murder [1210],Actual incidents,1
2008,Prince Edward Island [11],Attempted murder [1210],Actual incidents,1
2009,Prince Edward Island [11],Attempted murder [1210],Actual incidents,0
2010,Prince Edward Island [11],Attempted murder [1210],Actual incidents,0
2011,Prince Edward Island [11],Attempted murder [1210],Actual incidents,0
2012,Prince Edward Island [11],Attempted murder [1210],Actual incidents,1
2013,Prince Edward Island [11],Attempted murder [1210],Actual incidents,0
2014,Prince Edward Island [11],Attempted murder [1210],Actual incidents,1
2015,Prince Edward Island [11],Attempted murder [1210],Actual incidents,3
2016,Prince Edward Island [11],Attempted murder [1210],Actual incidents,0
2017,Prince Edward Island [11],Attempted murder [1210],Actual incidents,2
2018,Prince Edward Island [11],Attempted murder [1210],Actual incidents,1
2019,Prince Edward Island [11],Attempted murder [1210],Actual incidents,0
2020,Prince Edward Island [11],Attempted murder [1210],Actual incidents,0
2000,Prince Edward Island [11],Attempted murder [1210],"Rate per 100,000 population",0.73
2001,Prince Edward Island [11],Attempted murder [1210],"Rate per 100,000 population",0.73
2002,Prince Edward Island [11],Attempted murder [1210],"Rate per 100,000 population",1.46
2003,Prince Edward Island [11],Attempted murder [1210],"Rate per 100,000 population",
2004,Prince Edward Island [11],Attempted murder [1210],"Rate per 100,000 population",0.73
2005,Prince Edward Island [11],Attempted murder [1210],"Rate per 100,000 population",0
2006,Prince Edward Island [11],Attempted murder [1210],"Rate per 100,000 population",1.45
2007,Prince Edward Island [11],Attempted murder [1210],"Rate per 100,000 population",0.73
2008,Prince Edward Island [11],Attempted murder [1210],"Rate per 100,000 population",0.72
2009,Prince Edward Island [11],Attempted murder [1210],"Rate per 100,000 population",0
2010,Prince Edward Island [11],Attempted murder [1210],"Rate per 100,000 population",0
2011,Prince Edward Island [11],Attempted murder [1210],"Rate per 100,000 population",0
2012,Prince Edward Island [11],Attempted murder [1210],"Rate per 100,000 population",0.69
2013,Prince Edward Island [11],Attempted murder [1210],"Rate per 100,000 population",0
2014,Prince Edward Island [11],Attempted murder [1210],"Rate per 100,000 population",0.69
2015,Prince Edward Island [11],Attempted murder [1210],"Rate per 100,000 population",2.08
2016,Prince Edward Island [11],Attempted murder [1210],"Rate per 100,000 population",0
2017,Prince Edward Island [11],Attempted murder [1210],"Rate per 100,000 population",1.33
2018,Prince Edward Island [11],Attempted murder [1210],"Rate per 100,000 population",0.65
2019,Prince Edward Island [11],Attempted murder [1210],"Rate per 100,000 population",0
2020,Prince Edward Island [11],Attempted murder [1210],"Rate per 100,000 population",0
2000,Prince Edward Island [11],Total sexual violations against children [130],Actual incidents,
2001,Prince Edward Island [11],Total sexual violations against children [130],Actual incidents,
2002,Prince Edward Island [11],Total sexual violations against children [130],Actual incidents,0
2003,Prince Edward Island [11],Total sexual violations against children [130],Actual incidents,0
2004,Prince Edward Island [11],Total sexual violations against children [130],Actual incidents,0
2005,Prince Edward Island [11],Total sexual violations against children [130],Actual incidents,0
2006,Prince Edward Island [11],Total sexual violations against children [130],Actual incidents,0
2007,Prince Edward Island [11],Total sexual violations against children [130],Actual incidents,1
2008,Prince Edward Island [11],Total sexual violations against children [130],Actual incidents,2
2009,Prince Edward Island [11],Total sexual violations against children [130],Actual incidents,18
2010,Prince Edward Island [11],Total sexual violations against children [130],Actual incidents,24
2011,Prince Edward Island [11],Total sexual violations against children [130],Actual incidents,19
2012,Prince Edward Island [11],Total sexual violations against children [130],Actual incidents,22
2013,Prince Edward Island [11],Total sexual violations against children [130],Actual incidents,13
2014,Prince Edward Island [11],Total sexual violations against children [130],Actual incidents,18
2015,Prince Edward Island [11],Total sexual violations against children [130],Actual incidents,23
2016,Prince Edward Island [11],Total sexual violations against children [130],Actual incidents,34
2017,Prince Edward Island [11],Total sexual violations against children [130],Actual incidents,28
2018,Prince Edward Island [11],Total sexual violations against children [130],Actual incidents,36
2019,Prince Edward Island [11],Total sexual violations against children [130],Actual incidents,52
2020,Prince Edward Island [11],Total sexual violations against children [130],Actual incidents,43
2000,Prince Edward Island [11],Total sexual violations against children [130],"Rate per 100,000 population",
2001,Prince Edward Island [11],Total sexual violations against children [130],"Rate per 100,000 population",
2002,Prince Edward Island [11],Total sexual violations against children [130],"Rate per 100,000 population",0
2003,Prince Edward Island [11],Total sexual violations against children [130],"Rate per 100,000 population",0
2004,Prince Edward Island [11],Total sexual violations against children [130],"Rate per 100,000 population",0
2005,Prince Edward Island [11],Total sexual violations against children [130],"Rate per 100,000 population",0
2006,Prince Edward Island [11],Total sexual violations against children [130],"Rate per 100,000 population",0
2007,Prince Edward Island [11],Total sexual violations against children [130],"Rate per 100,000 population",0.73
2008,Prince Edward Island [11],Total sexual violations against children [130],"Rate per 100,000 population",1.44
2009,Prince Edward Island [11],Total sexual violations against children [130],"Rate per 100,000 population",12.87
2010,Prince Edward Island [11],Total sexual violations against children [130],"Rate per 100,000 population",16.94
2011,Prince Edward Island [11],Total sexual violations against children [130],"Rate per 100,000 population",13.2
2012,Prince Edward Island [11],Total sexual violations against children [130],"Rate per 100,000 population",15.22
2013,Prince Edward Island [11],Total sexual violations against children [130],"Rate per 100,000 population",9.02
2014,Prince Edward Island [11],Total sexual violations against children [130],"Rate per 100,000 population",12.48
2015,Prince Edward Island [11],Total sexual violations against children [130],"Rate per 100,000 population",15.91
2016,Prince Edward Island [11],Total sexual violations against children [130],"Rate per 100,000 population",23.13
2017,Prince Edward Island [11],Total sexual violations against children [130],"Rate per 100,000 population",18.62
2018,Prince Edward Island [11],Total sexual violations against children [130],"Rate per 100,000 population",23.47
2019,Prince Edward Island [11],Total sexual violations against children [130],"Rate per 100,000 population",33.07
2020,Prince Edward Island [11],Total sexual violations against children [130],"Rate per 100,000 population",26.94
2000,Prince Edward Island [11],"Total firearms, use of, discharge, pointing [150]",Actual incidents,3
2001,Prince Edward Island [11],"Total firearms, use of, discharge, pointing [150]",Actual incidents,6
2002,Prince Edward Island [11],"Total firearms, use of, discharge, pointing [150]",Actual incidents,2
2003,Prince Edward Island [11],"Total firearms, use of, discharge, pointing [150]",Actual incidents,7
2004,Prince Edward Island [11],"Total firearms, use of, discharge, pointing [150]",Actual incidents,12
2005,Prince Edward Island [11],"Total firearms, use of, discharge, pointing [150]",Actual incidents,4
2006,Prince Edward Island [11],"Total firearms, use of, discharge, pointing [150]",Actual incidents,3
2007,Prince Edward Island [11],"Total firearms, use of, discharge, pointing [150]",Actual incidents,2
2008,Prince Edward Island [11],"Total firearms, use of, discharge, pointing [150]",Actual incidents,2
2009,Prince Edward Island [11],"Total firearms, use of, discharge, pointing [150]",Actual incidents,2
2010,Prince Edward Island [11],"Total firearms, use of, discharge, pointing [150]",Actual incidents,3
2011,Prince Edward Island [11],"Total firearms, use of, discharge, pointing [150]",Actual incidents,3
2012,Prince Edward Island [11],"Total firearms, use of, discharge, pointing [150]",Actual incidents,4
2013,Prince Edward Island [11],"Total firearms, use of, discharge, pointing [150]",Actual incidents,3
2014,Prince Edward Island [11],"Total firearms, use of, discharge, pointing [150]",Actual incidents,6
2015,Prince Edward Island [11],"Total firearms, use of, discharge, pointing [150]",Actual incidents,13
2016,Prince Edward Island [11],"Total firearms, use of, discharge, pointing [150]",Actual incidents,7
2017,Prince Edward Island [11],"Total firearms, use of, discharge, pointing [150]",Actual incidents,6
2018,Prince Edward Island [11],"Total firearms, use of, discharge, pointing [150]",Actual incidents,7
2019,Prince Edward Island [11],"Total firearms, use of, discharge, pointing [150]",Actual incidents,4
2020,Prince Edward Island [11],"Total firearms, use of, discharge, pointing [150]",Actual incidents,3
2000,Prince Edward Island [11],"Total firearms, use of, discharge, pointing [150]","Rate per 100,000 population",2.2
2001,Prince Edward Island [11],"Total firearms, use of, discharge, pointing [150]","Rate per 100,000 population",4.39
2002,Prince Edward Island [11],"Total firearms, use of, discharge, pointing [150]","Rate per 100,000 population",1.46
2003,Prince Edward Island [11],"Total firearms, use of, discharge, pointing [150]","Rate per 100,000 population",5.1
2004,Prince Edward Island [11],"Total firearms, use of, discharge, pointing [150]","Rate per 100,000 population",8.72
2005,Prince Edward Island [11],"Total firearms, use of, discharge, pointing [150]","Rate per 100,000 population",2.9
2006,Prince Edward Island [11],"Total firearms, use of, discharge, pointing [150]","Rate per 100,000 population",2.18
2007,Prince Edward Island [11],"Total firearms, use of, discharge, pointing [150]","Rate per 100,000 population",1.45
2008,Prince Edward Island [11],"Total firearms, use of, discharge, pointing [150]","Rate per 100,000 population",1.44
2009,Prince Edward Island [11],"Total firearms, use of, discharge, pointing [150]","Rate per 100,000 population",1.43
2010,Prince Edward Island [11],"Total firearms, use of, discharge, pointing [150]","Rate per 100,000 population",2.12
2011,Prince Edward Island [11],"Total firearms, use of, discharge, pointing [150]","Rate per 100,000 population",2.08
2012,Prince Edward Island [11],"Total firearms, use of, discharge, pointing [150]","Rate per 100,000 population",2.77
2013,Prince Edward Island [11],"Total firearms, use of, discharge, pointing [150]","Rate per 100,000 population",2.08
2014,Prince Edward Island [11],"Total firearms, use of, discharge, pointing [150]","Rate per 100,000 population",4.16
2015,Prince Edward Island [11],"Total firearms, use of, discharge, pointing [150]","Rate per 100,000 population",8.99
2016,Prince Edward Island [11],"Total firearms, use of, discharge, pointing [150]","Rate per 100,000 population",4.76
2017,Prince Edward Island [11],"Total firearms, use of, discharge, pointing [150]","Rate per 100,000 population",3.99
2018,Prince Edward Island [11],"Total firearms, use of, discharge, pointing [150]","Rate per 100,000 population",4.56
2019,Prince Edward Island [11],"Total firearms, use of, discharge, pointing [150]","Rate per 100,000 population",2.54
2020,Prince Edward Island [11],"Total firearms, use of, discharge, pointing [150]","Rate per 100,000 population",1.88
2000,Prince Edward Island [11],Total robbery [160],Actual incidents,15
2001,Prince Edward Island [11],Total robbery [160],Actual incidents,25
2002,Prince Edward Island [11],Total robbery [160],Actual incidents,18
2003,Prince Edward Island [11],Total robbery [160],Actual incidents,18
2004,Prince Edward Island [11],Total robbery [160],Actual incidents,27
2005,Prince Edward Island [11],Total robbery [160],Actual incidents,18
2006,Prince Edward Island [11],Total robbery [160],Actual incidents,25
2007,Prince Edward Island [11],Total robbery [160],Actual incidents,16
2008,Prince Edward Island [11],Total robbery [160],Actual incidents,24
2009,Prince Edward Island [11],Total robbery [160],Actual incidents,19
2010,Prince Edward Island [11],Total robbery [160],Actual incidents,22
2011,Prince Edward Island [11],Total robbery [160],Actual incidents,17
2012,Prince Edward Island [11],Total robbery [160],Actual incidents,26
2013,Prince Edward Island [11],Total robbery [160],Actual incidents,23
2014,Prince Edward Island [11],Total robbery [160],Actual incidents,28
2015,Prince Edward Island [11],Total robbery [160],Actual incidents,16
2016,Prince Edward Island [11],Total robbery [160],Actual incidents,18
2017,Prince Edward Island [11],Total robbery [160],Actual incidents,18
2018,Prince Edward Island [11],Total robbery [160],Actual incidents,21
2019,Prince Edward Island [11],Total robbery [160],Actual incidents,24
2020,Prince Edward Island [11],Total robbery [160],Actual incidents,8
2000,Prince Edward Island [11],Total robbery [160],"Rate per 100,000 population",10.99
2001,Prince Edward Island [11],Total robbery [160],"Rate per 100,000 population",18.29
2002,Prince Edward Island [11],Total robbery [160],"Rate per 100,000 population",13.15
2003,Prince Edward Island [11],Total robbery [160],"Rate per 100,000 population",13.12
2004,Prince Edward Island [11],Total robbery [160],"Rate per 100,000 population",19.61
2005,Prince Edward Island [11],Total robbery [160],"Rate per 100,000 population",13.04
2006,Prince Edward Island [11],Total robbery [160],"Rate per 100,000 population",18.13
2007,Prince Edward Island [11],Total robbery [160],"Rate per 100,000 population",11.62
2008,Prince Edward Island [11],Total robbery [160],"Rate per 100,000 population",17.3
2009,Prince Edward Island [11],Total robbery [160],"Rate per 100,000 population",13.58
2010,Prince Edward Island [11],Total robbery [160],"Rate per 100,000 population",15.53
2011,Prince Edward Island [11],Total robbery [160],"Rate per 100,000 population",11.81
2012,Prince Edward Island [11],Total robbery [160],"Rate per 100,000 population",17.99
2013,Prince Edward Island [11],Total robbery [160],"Rate per 100,000 population",15.96
2014,Prince Edward Island [11],Total robbery [160],"Rate per 100,000 population",19.41
2015,Prince Edward Island [11],Total robbery [160],"Rate per 100,000 population",11.07
2016,Prince Edward Island [11],Total robbery [160],"Rate per 100,000 population",12.25
2017,Prince Edward Island [11],Total robbery [160],"Rate per 100,000 population",11.97
2018,Prince Edward Island [11],Total robbery [160],"Rate per 100,000 population",13.69
2019,Prince Edward Island [11],Total robbery [160],"Rate per 100,000 population",15.26
2020,Prince Edward Island [11],Total robbery [160],"Rate per 100,000 population",5.01
2000,Prince Edward Island [11],Total theft of motor vehicle [220],Actual incidents,221
2001,Prince Edward Island [11],Total theft of motor vehicle [220],Actual incidents,273
2002,Prince Edward Island [11],Total theft of motor vehicle [220],Actual incidents,244
2003,Prince Edward Island [11],Total theft of motor vehicle [220],Actual incidents,270
2004,Prince Edward Island [11],Total theft of motor vehicle [220],Actual incidents,255
2005,Prince Edward Island [11],Total theft of motor vehicle [220],Actual incidents,219
2006,Prince Edward Island [11],Total theft of motor vehicle [220],Actual incidents,156
2007,Prince Edward Island [11],Total theft of motor vehicle [220],Actual incidents,167
2008,Prince Edward Island [11],Total theft of motor vehicle [220],Actual incidents,168
2009,Prince Edward Island [11],Total theft of motor vehicle [220],Actual incidents,159
2010,Prince Edward Island [11],Total theft of motor vehicle [220],Actual incidents,115
2011,Prince Edward Island [11],Total theft of motor vehicle [220],Actual incidents,124
2012,Prince Edward Island [11],Total theft of motor vehicle [220],Actual incidents,160
2013,Prince Edward Island [11],Total theft of motor vehicle [220],Actual incidents,120
2014,Prince Edward Island [11],Total theft of motor vehicle [220],Actual incidents,80
2015,Prince Edward Island [11],Total theft of motor vehicle [220],Actual incidents,93
2016,Prince Edward Island [11],Total theft of motor vehicle [220],Actual incidents,91
2017,Prince Edward Island [11],Total theft of motor vehicle [220],Actual incidents,74
2018,Prince Edward Island [11],Total theft of motor vehicle [220],Actual incidents,127
2019,Prince Edward Island [11],Total theft of motor vehicle [220],Actual incidents,145
2020,Prince Edward Island [11],Total theft of motor vehicle [220],Actual incidents,108
2000,Prince Edward Island [11],Total theft of motor vehicle [220],"Rate per 100,000 population",161.92
2001,Prince Edward Island [11],Total theft of motor vehicle [220],"Rate per 100,000 population",199.76
2002,Prince Edward Island [11],Total theft of motor vehicle [220],"Rate per 100,000 population",178.26
2003,Prince Edward Island [11],Total theft of motor vehicle [220],"Rate per 100,000 population",196.76
2004,Prince Edward Island [11],Total theft of motor vehicle [220],"Rate per 100,000 population",185.22
2005,Prince Edward Island [11],Total theft of motor vehicle [220],"Rate per 100,000 population",158.63
2006,Prince Edward Island [11],Total theft of motor vehicle [220],"Rate per 100,000 population",113.15
2007,Prince Edward Island [11],Total theft of motor vehicle [220],"Rate per 100,000 population",121.26
2008,Prince Edward Island [11],Total theft of motor vehicle [220],"Rate per 100,000 population",121.07
2009,Prince Edward Island [11],Total theft of motor vehicle [220],"Rate per 100,000 population",113.65
2010,Prince Edward Island [11],Total theft of motor vehicle [220],"Rate per 100,000 population",81.17
2011,Prince Edward Island [11],Total theft of motor vehicle [220],"Rate per 100,000 population",86.13
2012,Prince Edward Island [11],Total theft of motor vehicle [220],"Rate per 100,000 population",110.7
2013,Prince Edward Island [11],Total theft of motor vehicle [220],"Rate per 100,000 population",83.28
2014,Prince Edward Island [11],Total theft of motor vehicle [220],"Rate per 100,000 population",55.45
2015,Prince Edward Island [11],Total theft of motor vehicle [220],"Rate per 100,000 population",64.34
2016,Prince Edward Island [11],Total theft of motor vehicle [220],"Rate per 100,000 population",61.92
2017,Prince Edward Island [11],Total theft of motor vehicle [220],"Rate per 100,000 population",49.2
2018,Prince Edward Island [11],Total theft of motor vehicle [220],"Rate per 100,000 population",82.79
2019,Prince Edward Island [11],Total theft of motor vehicle [220],"Rate per 100,000 population",92.2
2020,Prince Edward Island [11],Total theft of motor vehicle [220],"Rate per 100,000 population",67.66
2000,Prince Edward Island [11],"Total theft over $5,000 (non-motor vehicle) [230]",Actual incidents,66
2001,Prince Edward Island [11],"Total theft over $5,000 (non-motor vehicle) [230]",Actual incidents,62
2002,Prince Edward Island [11],"Total theft over $5,000 (non-motor vehicle) [230]",Actual incidents,69
2003,Prince Edward Island [11],"Total theft over $5,000 (non-motor vehicle) [230]",Actual incidents,66
2004,Prince Edward Island [11],"Total theft over $5,000 (non-motor vehicle) [230]",Actual incidents,52
2005,Prince Edward Island [11],"Total theft over $5,000 (non-motor vehicle) [230]",Actual incidents,42
2006,Prince Edward Island [11],"Total theft over $5,000 (non-motor vehicle) [230]",Actual incidents,41
2007,Prince Edward Island [11],"Total theft over $5,000 (non-motor vehicle) [230]",Actual incidents,43
2008,Prince Edward Island [11],"Total theft over $5,000 (non-motor vehicle) [230]",Actual incidents,29
2009,Prince Edward Island [11],"Total theft over $5,000 (non-motor vehicle) [230]",Actual incidents,32
2010,Prince Edward Island [11],"Total theft over $5,000 (non-motor vehicle) [230]",Actual incidents,37
2011,Prince Edward Island [11],"Total theft over $5,000 (non-motor vehicle) [230]",Actual incidents,37
2012,Prince Edward Island [11],"Total theft over $5,000 (non-motor vehicle) [230]",Actual incidents,36
2013,Prince Edward Island [11],"Total theft over $5,000 (non-motor vehicle) [230]",Actual incidents,27
2014,Prince Edward Island [11],"Total theft over $5,000 (non-motor vehicle) [230]",Actual incidents,32
2015,Prince Edward Island [11],"Total theft over $5,000 (non-motor vehicle) [230]",Actual incidents,18
2016,Prince Edward Island [11],"Total theft over $5,000 (non-motor vehicle) [230]",Actual incidents,31
2017,Prince Edward Island [11],"Total theft over $5,000 (non-motor vehicle) [230]",Actual incidents,23
2018,Prince Edward Island [11],"Total theft over $5,000 (non-motor vehicle) [230]",Actual incidents,29
2019,Prince Edward Island [11],"Total theft over $5,000 (non-motor vehicle) [230]",Actual incidents,29
2020,Prince Edward Island [11],"Total theft over $5,000 (non-motor vehicle) [230]",Actual incidents,24
2000,Prince Edward Island [11],"Total theft over $5,000 (non-motor vehicle) [230]","Rate per 100,000 population",48.36
2001,Prince Edward Island [11],"Total theft over $5,000 (non-motor vehicle) [230]","Rate per 100,000 population",45.37
2002,Prince Edward Island [11],"Total theft over $5,000 (non-motor vehicle) [230]","Rate per 100,000 population",50.41
2003,Prince Edward Island [11],"Total theft over $5,000 (non-motor vehicle) [230]","Rate per 100,000 population",48.1
2004,Prince Edward Island [11],"Total theft over $5,000 (non-motor vehicle) [230]","Rate per 100,000 population",37.77
2005,Prince Edward Island [11],"Total theft over $5,000 (non-motor vehicle) [230]","Rate per 100,000 population",30.42
2006,Prince Edward Island [11],"Total theft over $5,000 (non-motor vehicle) [230]","Rate per 100,000 population",29.74
2007,Prince Edward Island [11],"Total theft over $5,000 (non-motor vehicle) [230]","Rate per 100,000 population",31.22
2008,Prince Edward Island [11],"Total theft over $5,000 (non-motor vehicle) [230]","Rate per 100,000 population",20.9
2009,Prince Edward Island [11],"Total theft over $5,000 (non-motor vehicle) [230]","Rate per 100,000 population",22.87
2010,Prince Edward Island [11],"Total theft over $5,000 (non-motor vehicle) [230]","Rate per 100,000 population",26.12
2011,Prince Edward Island [11],"Total theft over $5,000 (non-motor vehicle) [230]","Rate per 100,000 population",25.7
2012,Prince Edward Island [11],"Total theft over $5,000 (non-motor vehicle) [230]","Rate per 100,000 population",24.91
2013,Prince Edward Island [11],"Total theft over $5,000 (non-motor vehicle) [230]","Rate per 100,000 population",18.74
2014,Prince Edward Island [11],"Total theft over $5,000 (non-motor vehicle) [230]","Rate per 100,000 population",22.18
2015,Prince Edward Island [11],"Total theft over $5,000 (non-motor vehicle) [230]","Rate per 100,000 population",12.45
2016,Prince Edward Island [11],"Total theft over $5,000 (non-motor vehicle) [230]","Rate per 100,000 population",21.09
2017,Prince Edward Island [11],"Total theft over $5,000 (non-motor vehicle) [230]","Rate per 100,000 population",15.29
2018,Prince Edward Island [11],"Total theft over $5,000 (non-motor vehicle) [230]","Rate per 100,000 population",18.91
2019,Prince Edward Island [11],"Total theft over $5,000 (non-motor vehicle) [230]","Rate per 100,000 population",18.44
2020,Prince Edward Island [11],"Total theft over $5,000 (non-motor vehicle) [230]","Rate per 100,000 population",15.04
2000,Prince Edward Island [11],"Total theft under $5,000 (non-motor vehicle) [240]",Actual incidents,2603
2001,Prince Edward Island [11],"Total theft under $5,000 (non-motor vehicle) [240]",Actual incidents,2595
2002,Prince Edward Island [11],"Total theft under $5,000 (non-motor vehicle) [240]",Actual incidents,2736
2003,Prince Edward Island [11],"Total theft under $5,000 (non-motor vehicle) [240]",Actual incidents,3110
2004,Prince Edward Island [11],"Total theft under $5,000 (non-motor vehicle) [240]",Actual incidents,3239
2005,Prince Edward Island [11],"Total theft under $5,000 (non-motor vehicle) [240]",Actual incidents,3052
2006,Prince Edward Island [11],"Total theft under $5,000 (non-motor vehicle) [240]",Actual incidents,2801
2007,Prince Edward Island [11],"Total theft under $5,000 (non-motor vehicle) [240]",Actual incidents,2467
2008,Prince Edward Island [11],"Total theft under $5,000 (non-motor vehicle) [240]",Actual incidents,2759
2009,Prince Edward Island [11],"Total theft under $5,000 (non-motor vehicle) [240]",Actual incidents,2776
2010,Prince Edward Island [11],"Total theft under $5,000 (non-motor vehicle) [240]",Actual incidents,3008
2011,Prince Edward Island [11],"Total theft under $5,000 (non-motor vehicle) [240]",Actual incidents,2989
2012,Prince Edward Island [11],"Total theft under $5,000 (non-motor vehicle) [240]",Actual incidents,3233
2013,Prince Edward Island [11],"Total theft under $5,000 (non-motor vehicle) [240]",Actual incidents,3304
2014,Prince Edward Island [11],"Total theft under $5,000 (non-motor vehicle) [240]",Actual incidents,2356
2015,Prince Edward Island [11],"Total theft under $5,000 (non-motor vehicle) [240]",Actual incidents,1900
2016,Prince Edward Island [11],"Total theft under $5,000 (non-motor vehicle) [240]",Actual incidents,1899
2017,Prince Edward Island [11],"Total theft under $5,000 (non-motor vehicle) [240]",Actual incidents,1589
2018,Prince Edward Island [11],"Total theft under $5,000 (non-motor vehicle) [240]",Actual incidents,1894
2019,Prince Edward Island [11],"Total theft under $5,000 (non-motor vehicle) [240]",Actual incidents,2163
2020,Prince Edward Island [11],"Total theft under $5,000 (non-motor vehicle) [240]",Actual incidents,1452
2000,Prince Edward Island [11],"Total theft under $5,000 (non-motor vehicle) [240]","Rate per 100,000 population",1907.16
2001,Prince Edward Island [11],"Total theft under $5,000 (non-motor vehicle) [240]","Rate per 100,000 population",1898.83
2002,Prince Edward Island [11],"Total theft under $5,000 (non-motor vehicle) [240]","Rate per 100,000 population",1998.89
2003,Prince Edward Island [11],"Total theft under $5,000 (non-motor vehicle) [240]","Rate per 100,000 population",2266.42
2004,Prince Edward Island [11],"Total theft under $5,000 (non-motor vehicle) [240]","Rate per 100,000 population",2352.66
2005,Prince Edward Island [11],"Total theft under $5,000 (non-motor vehicle) [240]","Rate per 100,000 population",2210.71
2006,Prince Edward Island [11],"Total theft under $5,000 (non-motor vehicle) [240]","Rate per 100,000 population",2031.7
2007,Prince Edward Island [11],"Total theft under $5,000 (non-motor vehicle) [240]","Rate per 100,000 population",1791.3
2008,Prince Edward Island [11],"Total theft under $5,000 (non-motor vehicle) [240]","Rate per 100,000 population",1988.27
2009,Prince Edward Island [11],"Total theft under $5,000 (non-motor vehicle) [240]","Rate per 100,000 population",1984.15
2010,Prince Edward Island [11],"Total theft under $5,000 (non-motor vehicle) [240]","Rate per 100,000 population",2123.12
